X.UTM20	Y.UTM20	ID_2	pH	EC	SOC	TN	Mn	Cu	Zn	WHC	Sand	Silt	Clay	Al.Ox.	Fe.Ox.	P	K	Ca	Na	Mg	CEC	Elevation	Tm	pp	TvsPP	Kdg	Kda	Kdg_measured	Kda_measured	Zone_4	geometry	log_kda_sim	cat_kda_sim	log_kdg_sim	cat_kdg_sim	land_uses_obs	adapt_obs	betasok	vida_media	CATvida_media	LN_vida_media	Porcentaje2_rec
418240.45	6593812.04	187	5.90	0.20	17.37	0.17	201.70	0.40	0.63	23.70	17.70	54.50	27.80	0.11	0.06	35.37	741.00	2600	276.00	420.00	26.70	338	172	773	0.22	89.84	3.85	"Yes"	"Yes"	"III"	"c(418240.45, 6593812.04)"	1.34807314829969	"high"	4.49803031043019	"high"	Grass_crop	1	-0.0834177847144432	8.30934533843994	.	2.11738082579293	78.5714285714286
423666.86	6616209.04	186	6.20	0.23	17.06	0.06	309.70	1.70	1.58	25.90	10.50	58.00	31.50	0.11	0.07	83.72	975.00	2820	276.00	612.00	21.50	308	176	773	0.23	95.7	2.91	"Yes"	"Yes"	"III"	"c(423666.86, 6616209.04)"	1.0681530811834	"high"	4.56121829845891	"high"	Grass_crop	1	-0.129207899365611	5.36458826405492	.	1.67981962832028	72.2448979591837
415617.58	6642028.94	185	7.10	0.21	18.31	0.14	192.40	1.00	0.49	20.60	18.50	56.10	25.40	0.10	.	78.81	780.00	2400	322.00	600.00	19.00	420	174	753	0.23	.	.	"No"	"No"	"III"	"c(415617.58, 6642028.94)"	1.09232479610519	"high"	3.05016751319236	"medium"	Grass_crop	1	.	.	.	.	.
417917.15	6326745.97	201	6.66	0.15	15.58	0.13	150.30	1.60	27.58	22.60	46.60	38.50	14.90	0.12	.	192.38	1134.90	2076	9.20	230.40	15.00	283	171	815	0.21	.	.	"No"	"No"	"III"	"c(417917.15, 6326745.97)"	1.06518074706247	"high"	2.93340121960437	"medium"	Grass_crop	1	.	.	.	.	.
398262.26	6576561.37	218	6.9	0.16	15.61	0.1	169.4	1.6	0.09	16.4	34.9	42.4	22.7	0.0998295835994432	.	14.11	507	1740	276	168	13.9	533	157	755	0.21	.	.	"No"	"No"	"II"	"c(398262.26, 6576561.37)"	1.05141147701093	"high"	2.97478579687489	"medium"	Grass_crop	1	.	.	.	.	.
398072.08	6596511.07	217	6.1	0.29	25.94	0.3	153.7	1.8	2.06	20.4	24.1	49	26.9	0.09997403262377	.	2.56	741	2780	322	360	22.3	551	158	735	0.21	.	.	"No"	"No"	"II"	"c(398072.08, 6596511.07)"	1.27344797627387	"medium"	3.68094875804871	"high"	Grass_crop	1	.	.	.	.	.
401699.9	6616495.67	216	7.2	0.34	15.48	0.18	205.3	2	0.49	19.3	26.5	49.4	24.1	0.0945654164061918	.	70.63	971.1	2912	11.5	480	20.48	494	166	724	0.23	.	.	"No"	"No"	"III"	"c(401699.9, 6616495.67)"	0.86071503781441	"medium"	2.79427213502499	"medium"	Grass_crop	1	.	.	.	.	.
393818.33	6473952.7	223	6.9	0.09	11.32	0.11	209.6	1.9	0.15	18.5	19.1	60	21	0.131698229569645	.	52.85	1006.2	3520	11.5	240	22.61	410	171	732	0.23	.	.	"No"	"No"	"III"	"c(393818.33, 6473952.7)"	0.617872965582661	"high"	3.25554408802116	"medium"	Grass_crop	1	.	.	.	.	.
402114.27	6516158.45	221	6.4	0.07	15.65	0.16	178.2	1.8	0.88	22.7	13.9	59.2	26.9	0.130952009303553	.	34.35	819	2620	299	384	20.9	377	173	762	0.23	.	.	"No"	"No"	"III"	"c(402114.27, 6516158.45)"	1.0636916477311	"high"	3.86055931015786	"high"	Grass_crop	1	.	.	.	.	.
391757.12	6558626.52	219	6.5	0.22	21.55	0.15	202	2	1.24	24.5	7.6	56.3	36.1	0.124289062081635	.	71.25	819	3100	230	366	22.5	531	156	760	0.21	.	.	"No"	"No"	"III"	"c(391757.12, 6558626.52)"	1.33232467788924	"high"	4.21541216024104	"high"	Grass_crop	1	.	.	.	.	.
397694.75	6636408.88	215	6.8	0.38	23.79	0.21	179.7	2.3	0.01	20.2	16	55.4	28.6	0.103321717038824	.	3.88	663	4220	253	439.2	24.4	648	165	703	0.23	.	.	"No"	"No"	"II"	"c(397694.75, 6636408.88)"	1.03975514924847	"medium"	3.3916503802368	"high"	Grass_crop	1	.	.	.	.	.
432630.41	6256210.77	204	5.98	0.50	8.84	0.10	106.10	0.10	0.48	13.30	65.30	20.80	14.00	0.11	.	16.66	670.80	964	172.50	194.40	10.94	161	171	793	0.22	.	.	"No"	"No"	"IV"	"c(432630.41, 6256210.77)"	0.884162113923714	"high"	3.15031759735255	"medium"	Grass_crop	1	.	.	.	.	.
420675.52	6277073.31	203	5.45	0.08	11.75	0.11	89.70	0.40	0.01	13.10	60.00	26.30	13.60	0.11	0.11	26.68	729.30	1328	6.90	218.40	12.60	209	171	798	0.21	18.01	3.12	"Yes"	"Yes"	"IV"	"c(420675.52, 6277073.31)"	1.13783300182139	"high"	2.89092715918786	"high"	Grass_crop	1	.	.	.	.	.
423547.62	6312202.42	202	5.31	0.09	11.77	0.10	65.70	0.20	0.01	12.70	69.10	19.80	11.10	0.11	0.09	33.02	600.60	1116	6.90	184.80	11.90	250	171	811	0.21	23.34	1.62	"Yes"	"Yes"	"IV"	"c(423547.62, 6312202.42)"	0.482426149244293	"high"	3.15016862685841	"high"	Grass_crop	1	-0.0497421575554545	13.9348032860697	.	2.63438954429819	76.3265306122449
414970.18	6156712.11	209	6.40	0.09	6.49	0.09	70.80	1.00	0.01	12.20	73.00	14.80	12.20	0.08	0.09	34.45	624.00	1804	253.00	132.00	11.20	145	168	703	0.24	.	.	"No"	"No"	"IV"	"c(414970.18, 6156712.11)"	0.282495248459172	"high"	2.4330866584351	"medium"	Grass_crop	1	.	.	.	.	.
421888.16	6180591.73	208	6.20	0.11	7.32	0.11	109.40	1.50	0.78	13.90	66.30	18.20	15.50	0.09	0.12	17.68	585.00	2328	299.00	336.00	12.60	152	169	724	0.23	14.43	1.9	"Yes"	"Yes"	"IV"	"c(421888.16, 6180591.73)"	0.641853886172395	"high"	2.66930937278578	"medium"	Grass_crop	1	-0.0463612528208645	14.9510019334076	.	2.70477831654806	78.3673469387755
415059.81	6233150.92	205	6.30	0.30	10.96	0.11	129.80	1.60	1.12	17.10	55.10	28.70	16.20	0.10	.	122.05	663.00	1910	138.00	141.60	13.50	176	171	767	0.22	.	.	"No"	"No"	"IV"	"c(415059.81, 6233150.92)"	0.707056870453533	"high"	2.95772462098561	"medium"	Grass_crop	1	.	.	.	.	.
443317.34	6244372.51	175	5.63	0.13	9.49	0.09	103.80	0.70	0.01	12.50	72.80	12.30	15.00	0.11	.	7.67	639.60	934	9.20	354.00	10.70	150	171	793	0.22	.	.	"No"	"No"	"IV"	"c(443317.34, 6244372.51)"	0.939807557245425	"high"	3.47343174388297	"high"	Grass_crop	1	.	.	.	.	.
459850.71	6238129.3	145	6.80	1.61	9.01	0.09	155.10	0.70	0.78	10.90	63.20	36.80	12.00	0.11	.	35.06	678.60	906	333.50	224.40	8.30	137	170	796	0.21	.	.	"No"	"No"	"IV"	"c(459850.71, 6238129.3)"	0.952192616133439	"high"	2.63663783997031	"medium"	Grass_crop	1	.	.	.	.	.
460321.84	6275948.22	143	5.45	0.12	11.26	0.12	83.20	0.60	0.47	13.00	67.90	22.80	9.20	0.11	.	29.24	694.20	1238	4.60	146.40	10.68	148	171	798	0.21	.	.	"No"	"No"	"IV"	"c(460321.84, 6275948.22)"	1.04490408200407	"high"	3.31037490430767	"medium"	Grass_crop	1	.	.	.	.	.
465263.67	6296646.01	142	5.69	0.10	13.38	0.11	91.80	0.60	1.08	14.90	59.60	40.40	12.90	0.15	0.13	36.49	768.30	1102	4.60	319.20	12.35	146	170	802	0.21	26.5	4.33	"Yes"	"Yes"	"IV"	"c(465263.67, 6296646.01)"	1.4655675420144	"high"	3.27714473299218	"high"	Grass_crop	1	.	.	.	.	.
441061.88	6675046.78	153	6.90	0.19	12.80	0.14	306.70	2.80	0.63	22.80	13.60	61.50	25.00	0.13	.	28.62	936.00	1026	299.00	655.20	31.10	231	187	814	0.23	.	.	"No"	"No"	"III"	"c(441061.88, 6675046.78)"	1.13736190191082	"high"	3.45268958581786	"high"	Grass_crop	1	.	.	.	.	.
448405.03	6145930.74	150	7.70	0.30	18.89	0.24	213.50	1.20	2.85	26.70	29.70	46.80	23.60	0.19	0.09	18.40	741.00	2156	276.00	1288.80	20.20	113	166	705	0.24	11.88	.	"Yes"	"No"	"III"	"c(448405.03, 6145930.74)"	0.829535224633625	"high"	2.4748563139345	"medium"	Grass_crop	1	.	.	.	.	.
456152.09	6175430.28	148	6.90	0.11	11.63	0.12	94.80	0.60	0.84	14.50	53.20	28.40	18.30	0.13	0.12	18.40	596.70	1288	6.90	292.80	10.00	138	166	724	0.23	27.96	.	"Yes"	"No"	"IV"	"c(456152.09, 6175430.28)"	0.756731974746391	"high"	3.33077491736561	"medium"	Grass_crop	1	.	.	.	.	.
450952.97	6311663.16	141	5.59	0.11	13.64	0.13	131.60	1.30	0.01	17.70	48.20	31.40	20.40	0.13	.	39.15	678.60	1596	6.90	279.60	13.20	186	171	806	0.21	.	.	"No"	"No"	"IV"	"c(450952.97, 6311663.16)"	1.20477797874375	"high"	4.01554118473277	"high"	Grass_crop	1	.	.	.	.	.
459339.54	6416019.79	136	7.20	0.11	8.28	0.11	162.30	0.50	0.01	15.30	30.30	50.30	19.50	0.13	0.08	125.73	819.00	1868	115.00	189.60	11.70	229	169	770	0.22	19.94	3.33	"Yes"	"Yes"	"IV"	"c(459339.54, 6416019.79)"	1.20297230399235	"high"	2.99272776453369	"medium"	Grass_crop	1	.	.	.	.	.
460414.96	6437318.15	135	7.40	0.10	10.43	0.09	145.20	0.60	0.01	14.90	38.40	48.80	12.80	0.14	.	78.40	1053.00	1780	46.00	331.20	13.80	244	169	779	0.22	.	.	"No"	"No"	"IV"	"c(460414.96, 6437318.15)"	1.01794846891425	"high"	2.57735994703425	"medium"	Grass_crop	1	.	.	.	.	.
462239.48	6500270.7	132	7.50	0.15	10.13	0.15	205.80	2.10	0.27	19.70	17.40	58.60	24.00	0.16	0.05	29.34	936.00	2808	69.00	476.40	20.80	228	173	807	0.21	30.93	3.3	"Yes"	"Yes"	"III"	"c(462239.48, 6500270.7)"	1.19392246847243	"high"	3.43172658669698	"medium"	Grass_crop	1	-0.17423452988022	3.97824232106265	.	1.38084009387633	82.0408163265306
